Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
NY TRYP by Windham Times Square (200)_5262,HotelReviews,100.0,0.0,78,78,168
Chicago - La Quinta Inn & Suites (235)_3378,HotelReviews,100.0,0.0,108,107,231
Madison HotelRED (69)_2652,HotelReviews,100.0,0.0,152,152,325
Chicago The Talbott (309)_2920,HotelReviews,100.0,0.0,136,135,293
Madison DoubleTree (255)_2172,HotelReviews,100.0,0.0,367,362,759
SF Renaissance Stanford Court (306)_4291,HotelReviews,100.0,0.0,72,71,154
Madison Concourse Hotel (337)_2499,HotelReviews,100.0,0.0,84,83,181
Madison DoubleTree (255)_2146,HotelReviews,100.0,0.0,15,15,33
NY The Iroquois (300)_4567,HotelReviews,100.0,0.0,172,170,358
SF  The Chancellor (303)_3612,HotelReviews,100.0,0.0,94,93,194
NY The Iroquois (300)_4637,HotelReviews,100.0,0.0,143,143,301
Madison DoubleTree (255)_2079,HotelReviews,100.0,0.0,69,67,148
NY The Surrey (300)_5037,HotelReviews,100.0,0.0,20,20,44
Madison Concourse Hotel (337)_2333,HotelReviews,100.0,0.0,79,79,171
NY TRYP by Windham Times Square (200)_5231,HotelReviews,100.0,0.0,144,144,295
Chicago The Talbott (309)_2936,HotelReviews,100.0,0.0,183,183,384
SF Renaissance Stanford Court (306)_4430,HotelReviews,100.0,0.0,230,227,484
SF Renaissance Stanford Court (306)_4255,HotelReviews,100.0,0.0,152,152,317
Madison Concourse Hotel (337)_2421,HotelReviews,100.0,0.0,69,67,146
NY The Surrey (300)_4826,HotelReviews,100.0,0.0,173,173,362
Chicago Radisson Blu Aqua (330)_3005,HotelReviews,100.0,0.0,154,154,323
NY The Iroquois (300)_4558,HotelReviews,100.0,0.0,216,215,450
NY The Surrey (300)_4864,HotelReviews,100.0,0.0,288,288,616
NY The Surrey (300)_4953,HotelReviews,100.0,0.0,90,84,187
SF  The Chancellor (303)_3841,HotelReviews,100.0,0.0,103,102,214
Chicago - La Quinta Inn & Suites (235)_3438,HotelReviews,100.0,0.0,108,108,225
Madison DoubleTree (255)_2174,HotelReviews,100.0,0.0,116,114,242
Chicago Radisson Blu Aqua (330)_3128,HotelReviews,100.0,0.0,164,164,347
NY The Surrey (300)_4891,HotelReviews,100.0,0.0,154,149,321
NY The Iroquois (300)_4738,HotelReviews,100.0,0.0,152,150,323
SF  The Chancellor (303)_3846,HotelReviews,100.0,0.0,55,55,118
Chicago Radisson Blu Aqua (330)_3238,HotelReviews,100.0,0.0,134,132,281
Madison Concourse Hotel (337)_2347,HotelReviews,100.0,0.0,180,179,381
Madison Concourse Hotel (337)_2446,HotelReviews,100.0,0.0,25,25,54
Chicago The Talbott (309)_2883,HotelReviews,100.0,0.0,97,96,207
SF  The Chancellor (303)_3670,HotelReviews,100.0,0.0,54,54,119
NY TRYP by Windham Times Square (200)_5243,HotelReviews,100.0,0.0,67,67,143
Chicago Radisson Blu Aqua (330)_3213,HotelReviews,100.0,0.0,90,88,196
NY The Iroquois (300)_4694,HotelReviews,100.0,0.0,146,145,315
SF The Presidio Travelodge (304)_4011,HotelReviews,100.0,0.0,113,109,240
SF  The Chancellor (303)_3647,HotelReviews,100.0,0.0,134,134,278
Madison Concourse Hotel (337)_2388,HotelReviews,100.0,0.0,88,88,186
Madison Concourse Hotel (337)_2590,HotelReviews,100.0,0.0,183,183,386
Chicago Radisson Blu Aqua (330)_3109,HotelReviews,100.0,0.0,141,141,309
SF The Presidio Travelodge (304)_3883,HotelReviews,100.0,0.0,116,114,247
NY TRYP by Windham Times Square (200)_5116,HotelReviews,100.0,0.0,529,524,1118
SF  The Chancellor (303)_3798,HotelReviews,100.0,0.0,72,71,155
Chicago Radisson Blu Aqua (330)_3254,HotelReviews,100.0,0.0,228,228,483
NY The Surrey (300)_4991,HotelReviews,100.0,0.0,189,188,397
SF The Presidio Travelodge (304)_3897,HotelReviews,100.0,0.0,25,25,52
Chicago The Talbott (309)_2915,HotelReviews,100.0,0.0,172,172,361
SF The Presidio Travelodge (304)_4045,HotelReviews,100.0,0.0,399,396,837
SF The Presidio Travelodge (304)_3916,HotelReviews,100.0,0.0,59,59,125
Madison Concourse Hotel (337)_2324,HotelReviews,100.0,0.0,142,137,302
Madison Concourse Hotel (337)_2380,HotelReviews,100.0,0.0,260,254,566
SF The Presidio Travelodge (304)_3875,HotelReviews,100.0,0.0,36,36,78
SF Renaissance Stanford Court (306)_4396,HotelReviews,100.0,0.0,259,259,544
SF Renaissance Stanford Court (306)_4461,HotelReviews,100.0,0.0,109,108,237
NY The Iroquois (300)_4757,HotelReviews,100.0,0.0,89,88,191
SF  The Chancellor (303)_3583,HotelReviews,100.0,0.0,85,85,179
SF The Presidio Travelodge (304)_3958,HotelReviews,100.0,0.0,152,152,321
SF  The Chancellor (303)_3766,HotelReviews,100.0,0.0,63,63,138
Madison Concourse Hotel (337)_2274,HotelReviews,100.0,0.0,138,137,288
NY TRYP by Windham Times Square (200)_5198,HotelReviews,100.0,0.0,53,53,114
Chicago The Talbott (309)_2773,HotelReviews,100.0,0.0,257,256,540
Chicago The Talbott (309)_2692,HotelReviews,100.0,0.0,45,45,95
NY The Surrey (300)_4783,HotelReviews,100.0,0.0,254,254,538
SF The Presidio Travelodge (304)_3957,HotelReviews,100.0,0.0,65,64,135
Chicago - La Quinta Inn & Suites (235)_3500,HotelReviews,100.0,0.0,65,65,139
NY The Surrey (300)_4870,HotelReviews,100.0,0.0,46,46,100
SF  The Chancellor (303)_3683,HotelReviews,100.0,0.0,207,202,436
NY The Iroquois (300)_4739,HotelReviews,100.0,0.0,39,39,85
SF Renaissance Stanford Court (306)_4189,HotelReviews,100.0,0.0,207,207,443
Madison Concourse Hotel (337)_2561,HotelReviews,100.0,0.0,122,121,254
Madison Concourse Hotel (337)_2288,HotelReviews,100.0,0.0,79,79,166
SF The Presidio Travelodge (304)_3936,HotelReviews,100.0,0.0,72,72,151
SF Renaissance Stanford Court (306)_4406,HotelReviews,100.0,0.0,141,141,288
Chicago Radisson Blu Aqua (330)_3141,HotelReviews,100.0,0.0,258,258,535
Chicago The Talbott (309)_2861,HotelReviews,100.0,0.0,125,121,262
Chicago - La Quinta Inn & Suites (235)_3383,HotelReviews,100.0,0.0,132,131,277
SF The Presidio Travelodge (304)_3864,HotelReviews,100.0,0.0,35,35,75
NY TRYP by Windham Times Square (200)_5183,HotelReviews,100.0,0.0,59,59,129
SF  The Chancellor (303)_3571,HotelReviews,100.0,0.0,202,202,427
Madison HotelRED (69)_2651,HotelReviews,100.0,0.0,126,126,267
Madison Concourse Hotel (337)_2273,HotelReviews,100.0,0.0,115,115,247
SF Renaissance Stanford Court (306)_4354,HotelReviews,100.0,0.0,42,42,90
SF The Presidio Travelodge (304)_4086,HotelReviews,100.0,0.0,114,112,243
SF Renaissance Stanford Court (306)_4193,HotelReviews,100.0,0.0,122,122,255
NY TRYP by Windham Times Square (200)_5140,HotelReviews,100.0,0.0,321,312,680
Chicago The Talbott (309)_2774,HotelReviews,100.0,0.0,185,179,397
